GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Unit-Test Coverage,de.mirkosertic.powerstaff.shared,ProjectStatus.new ProjectStatus() {...},0,8,0,0,0,2,0,2,0,2
Unit-Test Coverage,de.mirkosertic.powerstaff.shared,ProjectStatus.new ProjectStatus() {...},0,8,0,0,0,2,0,2,0,2
Unit-Test Coverage,de.mirkosertic.powerstaff.shared,TagType,0,49,0,0,0,10,0,3,0,3
Unit-Test Coverage,de.mirkosertic.powerstaff.shared,ProjectStatus,0,77,0,4,0,14,0,6,0,4
Unit-Test Coverage,de.mirkosertic.powerstaff.shared,TagType.new TagType() {...},0,8,0,0,0,2,0,2,0,2
Unit-Test Coverage,de.mirkosertic.powerstaff.shared,TagType.new TagType() {...},0,8,0,0,0,2,0,2,0,2
Unit-Test Coverage,de.mirkosertic.powerstaff.shared,TagType.new TagType() {...},0,8,0,0,0,2,0,2,0,2
Unit-Test Coverage,de.mirkosertic.powerstaff.shared,TagType.new TagType() {...},0,8,0,0,0,2,0,2,0,2
Unit-Test Coverage,de.mirkosertic.powerstaff.shared,TagType.new TagType() {...},0,8,0,0,0,2,0,2,0,2
Unit-Test Coverage,de.mirkosertic.powerstaff.customer.api,KundeController,683,0,50,0,121,0,48,0,23,0
Unit-Test Coverage,de.mirkosertic.powerstaff.customer.api,KundeController.new TypeReference() {...},8,0,0,0,1,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.customer.api,KundeController.new TypeReference() {...},8,0,0,0,1,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.partner.command,PartnerHistoryEntry,15,0,0,0,1,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.partner.command,PartnerCommandService,214,0,22,0,52,0,17,0,6,0
Unit-Test Coverage,de.mirkosertic.powerstaff.partner.command,PartnerContactEntry,15,0,0,0,1,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.partner.command,PartnerHasProjectsException,12,0,0,0,4,0,2,0,2,0
Unit-Test Coverage,de.mirkosertic.powerstaff.partner.command,PartnerHistory,59,0,0,0,17,0,17,0,17,0
Unit-Test Coverage,de.mirkosertic.powerstaff.partner.command,PartnerContact,59,0,0,0,17,0,17,0,17,0
Unit-Test Coverage,de.mirkosertic.powerstaff.partner.command,Partner,129,0,0,0,37,0,37,0,37,0
Unit-Test Coverage,de.mirkosertic.powerstaff.project.command,ProjectPosition,80,0,0,0,23,0,23,0,23,0
Unit-Test Coverage,de.mirkosertic.powerstaff.project.command,RememberedProjectInfo,12,0,0,0,1,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.project.command,RememberedProjectService,64,0,2,0,13,0,7,0,6,0
Unit-Test Coverage,de.mirkosertic.powerstaff.project.command,FreelancerAlreadyAssignedException,6,0,0,0,2,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.project.command,ProjectPositionCommandService,126,0,6,0,34,0,10,0,7,0
Unit-Test Coverage,de.mirkosertic.powerstaff.project.command,ProjectHistory,52,0,0,0,15,0,15,0,15,0
Unit-Test Coverage,de.mirkosertic.powerstaff.project.command,RememberedProject,41,0,0,0,13,0,8,0,8,0
Unit-Test Coverage,de.mirkosertic.powerstaff.project.command,ProjectCommandService,45,0,2,0,12,0,5,0,4,0
Unit-Test Coverage,de.mirkosertic.powerstaff.project.command,ProjectValidator,0,21,0,4,0,6,0,5,0,3
Unit-Test Coverage,de.mirkosertic.powerstaff.project.command,ProjectHistoryCommandService,22,0,0,0,7,0,4,0,4,0
Unit-Test Coverage,de.mirkosertic.powerstaff.project.command,Project,133,20,0,0,38,6,38,5,38,5
Unit-Test Coverage,de.mirkosertic.powerstaff.project.command,BothFKsException,4,0,0,0,2,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.auth,PsAuthenticationSuccessHandler,31,0,2,0,11,0,3,0,2,0
Unit-Test Coverage,de.mirkosertic.powerstaff.auth,UserQueryService,33,0,0,0,16,0,4,0,4,0
Unit-Test Coverage,de.mirkosertic.powerstaff.auth,MustChangePasswordFilter,67,0,10,0,19,0,8,0,3,0
Unit-Test Coverage,de.mirkosertic.powerstaff.auth,PasswordChangeController.PasswordChangeCommand,3,0,0,0,1,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.auth,UserController,315,0,48,0,73,0,33,0,9,0
Unit-Test Coverage,de.mirkosertic.powerstaff.auth,UserCommandService,83,0,6,0,20,0,11,0,8,0
Unit-Test Coverage,de.mirkosertic.powerstaff.auth,PsUser,54,0,2,0,19,0,11,0,10,0
Unit-Test Coverage,de.mirkosertic.powerstaff.auth,UserView,21,0,0,0,1,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.auth,PasswordChangeController,100,0,8,0,23,0,7,0,3,0
Unit-Test Coverage,de.mirkosertic.powerstaff.auth,PsUserDetailsService,65,0,4,0,13,0,5,0,3,0
Unit-Test Coverage,de.mirkosertic.powerstaff.freelancer.api,FreelancerController.new TypeReference() {...},8,0,0,0,1,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.freelancer.api,FreelancerController.new TypeReference() {...},8,0,0,0,1,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.freelancer.api,FreelancerController.new TypeReference() {...},8,0,0,0,1,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.freelancer.api,FreelancerController,976,0,82,0,160,0,68,0,27,0
