GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.shared,ContactType.new ContactType() {...},0,10,0,0,0,3,0,3,0,3
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.shared,ContactType.new ContactType() {...},0,10,0,0,0,3,0,3,0,3
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.shared,ContactType.new ContactType() {...},0,10,0,0,0,3,0,3,0,3
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.shared,ContactType,0,39,0,0,0,7,0,1,0,1
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.shared,WebMvcConfig,40,34,3,5,11,7,3,5,0,4
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.shared,ProjectStatus.new ProjectStatus() {...},0,8,0,0,0,2,0,2,0,2
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.shared,ProjectStatus.new ProjectStatus() {...},0,8,0,0,0,2,0,2,0,2
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.shared,ProjectStatus.new ProjectStatus() {...},0,8,0,0,0,2,0,2,0,2
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.shared,ProjectStatus.new ProjectStatus() {...},0,8,0,0,0,2,0,2,0,2
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.shared,ProjectStatus.new ProjectStatus() {...},0,8,0,0,0,2,0,2,0,2
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.shared,TagType,0,49,0,0,0,10,0,3,0,3
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.shared,ProjectStatus,0,77,0,4,0,14,0,6,0,4
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.shared,TagType.new TagType() {...},0,8,0,0,0,2,0,2,0,2
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.shared,TagType.new TagType() {...},0,8,0,0,0,2,0,2,0,2
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.shared,TagType.new TagType() {...},0,8,0,0,0,2,0,2,0,2
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.shared,TagType.new TagType() {...},0,8,0,0,0,2,0,2,0,2
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.shared,TagType.new TagType() {...},0,8,0,0,0,2,0,2,0,2
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.customer.api,KundeController,26,657,6,44,3,118,7,41,2,21
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.customer.api,KundeController.new TypeReference() {...},0,8,0,0,0,1,0,1,0,1
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.customer.api,KundeController.new TypeReference() {...},0,8,0,0,0,1,0,1,0,1
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.partner.command,PartnerHistoryEntry,0,15,0,0,0,1,0,1,0,1
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.partner.command,PartnerCommandService,0,214,2,20,0,52,2,15,0,6
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.partner.command,PartnerContactEntry,0,15,0,0,0,1,0,1,0,1
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.partner.command,PartnerHasProjectsException,0,12,0,0,0,4,0,2,0,2
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.partner.command,PartnerHistory,44,15,0,0,13,4,13,4,13,4
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.partner.command,PartnerContact,44,15,0,0,13,4,13,4,13,4
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.partner.command,Partner,16,113,0,0,4,33,4,33,4,33
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.project.command,ProjectPosition,9,71,0,0,3,20,3,20,3,20
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.project.command,RememberedProjectInfo,0,12,0,0,0,1,0,1,0,1
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.project.command,RememberedProjectService,0,64,0,2,0,13,0,7,0,6
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.project.command,FreelancerAlreadyAssignedException,0,6,0,0,0,2,0,1,0,1
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.project.command,ProjectPositionCommandService,2,124,2,4,1,33,2,8,0,7
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.project.command,ProjectHistory,26,26,0,0,7,8,7,8,7,8
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.project.command,RememberedProject,11,30,0,0,3,10,3,5,3,5
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.project.command,ProjectCommandService,0,45,0,2,0,12,0,5,0,4
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.project.command,ProjectValidator,0,21,0,4,0,6,0,5,0,3
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.project.command,ProjectHistoryCommandService,0,22,0,0,0,7,0,4,0,4
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.project.command,Project,48,105,0,0,12,32,12,31,12,31
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.project.command,BothFKsException,0,4,0,0,0,2,0,1,0,1
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.auth,PsAuthenticationSuccessHandler,4,27,1,1,1,10,1,2,0,2
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.auth,UserQueryService,8,25,0,0,4,12,1,3,1,3
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.auth,MustChangePasswordFilter,4,63,3,7,2,17,3,5,0,3
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.auth,PasswordChangeController.PasswordChangeCommand,0,3,0,0,0,1,0,1,0,1
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.auth,UserController,59,256,13,35,16,57,13,20,0,9
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.auth,UserCommandService,1,82,2,4,0,20,2,9,0,8
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.auth,PsUser,7,47,1,1,2,17,3,8,2,8
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.auth,UserView,0,21,0,0,0,1,0,1,0,1
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.auth,PasswordChangeController,0,100,1,7,0,23,1,6,0,3
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.auth,PsUserDetailsService,2,63,1,3,0,13,1,4,0,3
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.freelancer.api,FreelancerController.new TypeReference() {...},0,8,0,0,0,1,0,1,0,1
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.freelancer.api,FreelancerController.new TypeReference() {...},0,8,0,0,0,1,0,1,0,1
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.freelancer.api,FreelancerController.new TypeReference() {...},0,8,0,0,0,1,0,1,0,1
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.freelancer.api,FreelancerController,49,927,8,74,2,158,10,58,2,25
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.project.api,ProjectController.AssignByIdRequest,0,6,0,0,0,1,0,1,0,1
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.project.api,ProjectController,30,742,5,45,3,131,6,49,2,28
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.project.api,ProjectHistoryController.HistoryRequest,0,6,0,0,0,1,0,1,0,1
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.project.api,ProjectController.PositionRequest,0,15,0,0,0,1,0,1,0,1
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.project.api,ProjectHistoryController,5,64,0,0,0,16,1,4,1,4
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.partner.query,PartnerSearchCriteria,216,163,0,0,8,6,8,6,8,6
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.partner.query,PartnerQueryService,0,348,0,14,0,80,0,22,0,15
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.partner.query,PartnerContactView,0,15,0,0,0,1,0,1,0,1
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.partner.query,PartnerFreelancerView,0,24,0,0,0,1,0,1,0,1
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.partner.query,PartnerSearchResult,0,21,0,0,0,1,0,1,0,1
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.partner.query,PartnerDetailView,0,57,0,0,0,1,0,1,0,1
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.partner.query,PartnerProjectView,0,26,0,0,0,2,0,2,0,2
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.partner.query,PartnerHistoryView,0,30,0,0,0,1,0,1,0,1
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.shared.api,StammdatenController,0,235,0,2,0,54,0,18,0,17
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.freelancer.command,DuplicateTagException,0,6,0,0,0,2,0,1,0,1
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.freelancer.command,FreelancerTagCommandService,7,52,0,2,2,13,0,5,0,4
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.freelancer.command,FreelancerHistoryEntry,0,15,0,0,0,1,0,1,0,1
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.freelancer.command,FreelancerContact,44,15,0,0,13,4,13,4,13,4
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.freelancer.command,FreelancerHistory,44,15,0,0,13,4,13,4,13,4
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.freelancer.command,Freelancer,16,246,0,0,4,71,4,71,4,71
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.freelancer.command,FreelancerTag,32,20,0,0,9,6,9,6,9,6
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.freelancer.command,FreelancerTagEntry,0,9,0,0,0,1,0,1,0,1
